UB Account Number,Service File Number,Acct Status,,UB Address,Zip (Lot),H.S. Service,UB Mapped - Private Side Verification Method,UB Mapped - Public Side Verification Method,H.S. Verification Method,S.S. Service,UB Private Side,UB Utility Side,UB SL Category,S.S. Verification Method,S.S. Previously Lead?,UB Account Type,
006953-000,4648,Active,,414 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006954-000,3568,Active,,416 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006955-000,4550,Active,,424 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006956-000,4643,Active,,428 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006957-000,4816,Suspended,,432 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006958-000,4808,Active,,436 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006959-000,7677,Active,,444 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006960-000,8119,Active,,448 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006961-000,8295,Active,,452 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006962-000,8296,Active,,452 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006963-000,8445,Active,,460 E FIFTH ST,10553,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
006964-000,8412,Active,,466 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006965-000,8411,Active,,464 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006966-000,6879,Active,,468 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006967-000,4713,Active,,470 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006968-000,7960,Active,,474 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006969-000,6369,Active,,484 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006970-000,7880,Active,,486 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006971-000,5059,Active,,496 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006972-000,5052,Active,,496 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006973-000,6558,Active,,500 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006974-000,6338,Active,,524 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006975-000,12156,Active,,526 E FIFTH ST,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
006976-000,4010,Active,,525 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006977-000,8187,Active,,511 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006978-000,5553,Active,,501 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006979-000,8732,Active,,497 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006980-000,2715,Active,,487 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006981-000,3841,Active,,483 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006982-000,6374,Active,,473 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006983-000,7785,Active,,467 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006984-000,7777,Active,,465 E FIFTH ST,10553,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
006985-000,7788,Active,,463 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006986-000,12381,Active,,459 E FIFTH ST,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
006987-000,8355,Active,,447 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006988-000,8354,Active,,443 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006990-000,7315,Active,,435 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006991-000,3403,Active,,415 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006992-000,3404,Active,,411 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006993-000,4795,Active,,409 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
006994-000,11575,Active,,397 E FIFTH ST,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
006995-000,11574,Active,,393 E FIFTH ST,10553,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer Identification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
006996-000,9211,Active,,389 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006997-000,9214,Active,,385 E FIFTH ST,10553,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
006998-000,9213,Active,,383 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
006999-000,9212,Active,,381 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007000-000,5602,Active,,379 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007001-000,5739,Active,,375 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007002-000,5107,Active,,371 E FIFTH ST,10553,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
007003-000,4096,Active,,361 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007004-000,11750,Active,,357 E FIFTH ST,10553,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer ID with Photo or Other Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007005-000,5863,Active,,353 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007006-000,9177,Active,,251 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007007-000,9176,Active,,247 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007008-000,9175,Active,,243 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007009-000,9174,Active,,239 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007010-000,9173,Active,,235 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007011-000,9172,Active,,233 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007012-000,9126,Active,,227 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007013-000,6973,Active,,225 E FIFTH ST,10553,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007014-000,6560,Active,,221 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007015-000,2573,Active,,215 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007016-000,7371,Active,,109 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007017-000,6142,Active,,107 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007018-000,2464,Active,,105 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007019-000,6124,Active,,101 E FIFTH ST,10553,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007020-000,570,Active,,57 E FIFTH ST,10550,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
007021-000,380,Active,,6 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007022-000,7815,Active,,14 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007023-000,10940,Active,,50 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007024-000,11089,Active,,60 E SANDFORD BLVD,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007025-000,2565,Active,,68 E SANDFORD BLVD,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007026-000,9993,Active,,120 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007027-000,10917,Active,,230 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007028-000,11020,Active,,286 E SANDFORD BLVD,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007029-000,10955,Active,,400 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Onsite Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007030-000,11544,Active,,416 E SANDFORD BLVD,10550,Cast Iron,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007031-000,11190,Active,,440 E SANDFORD BLVD,10550,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007032-000,12525,Active,,500 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Onsite Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007033-000,12523,Active,,500 E SANDFORD BLVD,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007035-000,11438,Delete,,516 GARDEN AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007036-000,11194,Delete,,470 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007037-000,12501,Active,,555 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Onsite Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007038-000,12207,Active,,309 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Onsite Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007039-000,10027,Active,,295 E SANDFORD BLVD,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer ID with Photo or Other Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007040-000,12456,Active,,275 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Onsite Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007041-000,12052,Active,,249 E SANDFORD BLVD,10550,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007042-000,12649,Active,,229 E SANDFORD BLVD,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007043-000,12368,Active,,111 E SANDFORD BLVD,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007044-000,11459,Active,,63 E SANDFORD BLVD,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007045-000,11218,Active,,9 E SANDFORD BLVD,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007046-000,11362,Active,,561 S FULTON AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007047-000,11756,Active,,211 E SEVENTH ST,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007048-000,9526,Active,,275 E SEVENTH ST,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007049-000,11819,Active,,283 E SEVENTH ST,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007050-000,11215,Delete,,291 E SEVENTH ST,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007051-000,10516,Active,,250 E SEVENTH ST,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007052-000,10505,Active,,106 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007053-000,8423,Delete,,108 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007054-000,11167,Delete,,120 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007055-000,11168,Active,,130 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007056-000,10860,Active,,133 MILLER PL,10550,Lead,Field Inspection,Records,Field Inspection,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
007057-000,9895,Active,,115 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007058-000,7805,Active,,113 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007059-000,7769,Active,,111 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007060-000,7776,Active,,109 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007061-000,10886,Active,,107 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007062-000,8522,Delete,,103 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007063-000,8609,Active,,220 E EIGHTH ST,10550,Copper,Field Inspection,Records,Onsite Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007064-000,10730,Active,,325 MILLER PL,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007065-000,6081,Active,,329 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007066-000,5613,Delete,,335 MILLER PL,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007067-000,11769,Active,,115 EDISON AV,10550,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007068-000,11817,Active,,38 EDISON AV,10550,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer Identification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007069-000,12204,Active,,10 EDISON AV,10550,Galvanized,Customer Identification with Photo or Other Verification,Not Verified,Customer Identification,Unknown,Galvanized,Unknown,GSLRR,Not Verified,Unknown,Billable,1
007070-000,8284,Active,,115 EDISON AV,10550,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007071-000,4957,Active,,113 EDISON AV,10550,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007072-000,12013,Delete,,99 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007073-000,6197,Active,,89 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007074-000,10108,Active,,80 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007075-000,12492,Delete,,100 EDISON AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007077-000,10774,Active,,110 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007078-000,6270,Active,,49 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007079-000,10393,Active,,41 EDISON AV,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007080-000,7873,Active,,7 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007081-000,7872,Active,,29 EDISON AV,10550,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007082-000,10555,Active,,1 EDISON AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007083-000,12119,Active,,96 FULTON LANE,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007084-000,6087,Active,,98 FULTON LANE,10550,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007085-000,8581,Active,,100 FULTON LANE,10550,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007086-000,8338,Active,,102 FULTON LANE,10550,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007087-000,10937,Active,,119 FULTON LANE,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007088-000,10383,Active,,130 ANDERSON AV,10550,copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007089-000,10496,Active,,120 ANDERSON AV,10550,Copper,Other,Records,Other,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007090-000,10610,Active,,800 CANAL ST,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007091-000,10443,Delete,,46 CANAL ST,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007092-000,9169,Active,,40 CANAL ST,10550,unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007093-000,10536,Active,,21 BERTEL AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007094-000,10077,Active,,638 S COLUMBUS AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007095-000,11668,Active,,33 BERTEL AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007096-000,11144,Active,,29 BERTEL AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007097-000,11139,Active,,19 BERTEL AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007098-000,11136,Active,,15 BERTEL AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007099-000,11249,Active,,11 BERTEL AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007100-000,10925,Active,,240 E SEVENTH ST,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007101-000,10799,Active,,10 CARLETON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007102-000,10549,Active,,33 CARLETON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007103-000,10778,Delete,,29 CARLETON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007104-000,11202,Active,,9 CARLETON AV,10550,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007105-000,11446,Active,,1 CARLETON AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007106-000,10869,Active,,18 CARLETON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007107-000,10828,Active,,22 CARLETON AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007108-000,9880,Active,,575 GARDEN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007109-000,10991,Active,,10 KIMBALL PL,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007110-000,11917,Active,,12 KIMBALL PL,10550,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer ID with Photo or Other Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
007111-000,9858,Active,,11 KIMBALL PL,10550,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,No,Billable,1
007112-000,12116,Active,, KIMBALL PL,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007114-000,12117,Active,, KIMBALL PL,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007115-000,11799,Active,,18 SARGENT PL,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
007116-000,4423,Active,,116 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007117-000,3945,Active,,132 CRARY AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007118-000,3947,Active,,132 CRARY AV,10550,Lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
007119-000,3864,Delete,,144 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007120-000,7497,Active,,175 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007122-000,3942,Active,,173 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007123-000,3952,Active,,167 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Plastic,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
007124-000,3951,Active,,161 CRARY AV,10550,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
007125-000,11003,Active,,155 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
007126-000,3713,Active,,143 CRARY AV,10550,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
007127-000,3953,Active,,137 CRARY AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
